fighter_1,fighter_2,result,weight_class,method,round,time,fight_link,event_url
Jairzinho Rozenstruik,Augusto Sakai,win,Heavyweight,KO/TKO Punches,1,4:59,http://ufcstats.com/fight-details/2c0cddd12deb7450,http://ufcstats.com/event-details/3b2485c8d5c8b580
Marcin Tybura,Walt Harris,win,Heavyweight,KO/TKO Punches,1,4:06,http://ufcstats.com/fight-details/f187c7ec92f43828,http://ufcstats.com/event-details/3b2485c8d5c8b580
Roman Dolidze,Laureano Staropoli,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/bb6438338bb8aebf,http://ufcstats.com/event-details/3b2485c8d5c8b580
Santiago Ponzinibbio,Miguel Baeza,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5c0e5d850d8e661f,http://ufcstats.com/event-details/3b2485c8d5c8b580
Gregory Rodrigues,Dusko Todorovic,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/9252ad2304fd9a26,http://ufcstats.com/event-details/3b2485c8d5c8b580
Montana De La Rosa,Ariane da Silva,win,Women's Flyweight,KO/TKO Punches,2,4:27,http://ufcstats.com/fight-details/1a50d5c7e1e5c058,http://ufcstats.com/event-details/3b2485c8d5c8b580
Ilir Latifi,Tanner Boser,win,Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/0716a38768a34789,http://ufcstats.com/event-details/3b2485c8d5c8b580
Muslim Salikhov,Francisco Trinaldo,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/23b943e9ce495f0b,http://ufcstats.com/event-details/3b2485c8d5c8b580
Kamuela Kirk,Makwan Amirkhani,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/827aacd14f80e8f3,http://ufcstats.com/event-details/3b2485c8d5c8b580
Alan Patrick,Mason Jones,"nc


nc",Lightweight,CNC,2,2:14,http://ufcstats.com/fight-details/9cdfcd164b48f55e,http://ufcstats.com/event-details/3b2485c8d5c8b580
Manon Fiorot,Tabatha Ricci,win,Women's Flyweight,KO/TKO Punches,2,3:00,http://ufcstats.com/fight-details/419d1e29668b57fb,http://ufcstats.com/event-details/3b2485c8d5c8b580
Sean Woodson,Youssef Zalal,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/73a83b2595416f0a,http://ufcstats.com/event-details/3b2485c8d5c8b580
Claudio Puelles,Jordan Leavitt,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/58c5d506181812fa,http://ufcstats.com/event-details/3b2485c8d5c8b580
Rob Font,Cody Garbrandt,win,Bantamweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/d16f7ab4e28171ea,http://ufcstats.com/event-details/277ffed20cf07aea
Carla Esparza,Yan Xiaonan,win,Women's Strawweight,KO/TKO Punches,2,2:58,http://ufcstats.com/fight-details/16369fa06392f6a0,http://ufcstats.com/event-details/277ffed20cf07aea
Jared Vanderaa,Justin Tafa,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/559c0c3d752f327a,http://ufcstats.com/event-details/277ffed20cf07aea
Norma Dumont,Felicia Spencer,win,Women's Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/138f719d370e8ba0,http://ufcstats.com/event-details/277ffed20cf07aea
Ricardo Ramos,Bill Algeo,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ae0afbff5ba07a34,http://ufcstats.com/event-details/277ffed20cf07aea
Jack Hermansson,Edmen Shahbazyan,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/7f8340dfe4220c3e,http://ufcstats.com/event-details/277ffed20cf07aea
Ben Rothwell,Chris Barnett,win,Heavyweight,SUB Guillotine Choke,2,2:07,http://ufcstats.com/fight-details/3627f5133ce55902,http://ufcstats.com/event-details/277ffed20cf07aea
Court McGee,Claudio Silva,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e624d85a0d718578,http://ufcstats.com/event-details/277ffed20cf07aea
Bruno Silva,Victor Rodriguez,win,Flyweight,KO/TKO Punch,1,1:00,http://ufcstats.com/fight-details/b381dc272b32ce03,http://ufcstats.com/event-details/277ffed20cf07aea
Josh Culibao,Shayilan Nuerdanbieke,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c7cf2194fe5c751f,http://ufcstats.com/event-details/277ffed20cf07aea
David Dvorak,Juancamilo Ronderos,win,Flyweight,SUB Rear Naked Choke,1,2:18,http://ufcstats.com/fight-details/d44a814b106b94ff,http://ufcstats.com/event-details/277ffed20cf07aea
Damir Ismagulov,Rafael Alves,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/82d48296fd06c27f,http://ufcstats.com/event-details/277ffed20cf07aea
Charles Oliveira,Michael Chandler,win,Lightweight,KO/TKO Punch,2,0:19,http://ufcstats.com/fight-details/fef29aa73bd5b907,http://ufcstats.com/event-details/744f50016c39c26c
Beneil Dariush,Tony Ferguson,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/cfbaeb80b5ff7c00,http://ufcstats.com/event-details/744f50016c39c26c
Matt Schnell,Rogerio Bontorin,"nc


nc",Bantamweight,Overturned,3,5:00,http://ufcstats.com/fight-details/969aa613824c5dfe,http://ufcstats.com/event-details/744f50016c39c26c
Katlyn Cerminara,Viviane Araujo,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8cb4e3f056a84b0d,http://ufcstats.com/event-details/744f50016c39c26c
Edson Barboza,Shane Burgos,win,Featherweight,KO/TKO Punch,3,1:16,http://ufcstats.com/fight-details/6655a8da2655f2d0,http://ufcstats.com/event-details/744f50016c39c26c
Andre Muniz,Jacare Souza,win,Middleweight,SUB Armbar,1,3:59,http://ufcstats.com/fight-details/ca22bafab913aae7,http://ufcstats.com/event-details/744f50016c39c26c
Lando Vannata,Mike Grundy,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/be2e28ba3bdeb400,http://ufcstats.com/event-details/744f50016c39c26c
Jordan Wright,Jamie Pickett,win,Middleweight,KO/TKO Knee,1,1:04,http://ufcstats.com/fight-details/5573d46130d6b967,http://ufcstats.com/event-details/744f50016c39c26c
Andrea Lee,Antonina Shevchenko,win,Women's Flyweight,SUB Triangle Armbar,2,4:52,http://ufcstats.com/fight-details/2b894d87ad9aae05,http://ufcstats.com/event-details/744f50016c39c26c
Priscila Cachoeira,Gina Mazany,win,Women's Flyweight,KO/TKO Punches,2,4:51,http://ufcstats.com/fight-details/bfd672cac0726a9a,http://ufcstats.com/event-details/744f50016c39c26c
Tucker Lutz,Kevin Aguilar,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/1f2f27b36e79da74,http://ufcstats.com/event-details/744f50016c39c26c
Christos Giagos,Sean Soriano,win,Lightweight,SUB D'Arce Choke,2,0:59,http://ufcstats.com/fight-details/de332779baa1b103,http://ufcstats.com/event-details/744f50016c39c26c
Marina Rodriguez,Michelle Waterson-Gomez,win,Women's Flyweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/b948102c6205af63,http://ufcstats.com/event-details/58a36b4ccf5dc30e
Alex Morono,Donald Cerrone,win,Welterweight,KO/TKO Punches,1,4:40,http://ufcstats.com/fight-details/db2c805201a3116e,http://ufcstats.com/event-details/58a36b4ccf5dc30e
Neil Magny,Geoff Neal,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/178c4926223dca0c,http://ufcstats.com/event-details/58a36b4ccf5dc30e
Marcos Rogerio de Lima,Maurice Greene,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3f71ac21472f994c,http://ufcstats.com/event-details/58a36b4ccf5dc30e
Gregor Gillespie,Diego Ferreira,win,Lightweight,KO/TKO Punches,2,4:51,http://ufcstats.com/fight-details/295a0bf12a7373c0,http://ufcstats.com/event-details/58a36b4ccf5dc30e
Phil Hawes,Kyle Daukaus,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/00fbeda449926c13,http://ufcstats.com/event-details/58a36b4ccf5dc30e
Michael Trizano,Ludovit Klein,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4ffbadfb86284af5,http://ufcstats.com/event-details/58a36b4ccf5dc30e
JunYong Park,Tafon Nchukwi,win,Middleweight,M-DEC,3,5:00,http://ufcstats.com/fight-details/8a95f0e3f9111f0c,http://ufcstats.com/event-details/58a36b4ccf5dc30e
Carlston Harris,Christian Aguilera,win,Welterweight,SUB Anaconda Choke,1,2:52,http://ufcstats.com/fight-details/37fda56a435a9b24,http://ufcstats.com/event-details/58a36b4ccf5dc30e
Jiri Prochazka,Dominick Reyes,win,Light Heavyweight,KO/TKO Spinning Back Elbow,2,4:29,http://ufcstats.com/fight-details/394802bb096b403e,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Giga Chikadze,Cub Swanson,win,Featherweight,KO/TKO Kick,1,1:03,http://ufcstats.com/fight-details/2f82e8079ba354f4,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Ion Cutelaba,Dustin Jacoby,"draw


draw",Light Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/ec8d93ae99a7799d,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Sean Strickland,Krzysztof Jotko,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ffd8e8575a551875,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Merab Dvalishvili,Cody Stamann,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/26202a4bd36d3fd2,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Luana Pinheiro,Randa Markos,win,Women's Strawweight,DQ,1,4:16,http://ufcstats.com/fight-details/c9c79de21823d941,http://ufcstats.com/event-details/d57e6a8971b6d2bd
TJ Brown,Kai Kamaka,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/d72f9b3ac742a9e3,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Luana Carolina,Poliana Botelho,win,Women's Flyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/2ef09c8fe29251ac,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Loma Lookboonmee,Sam Hughes,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d6b5a6ad27a730ae,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Andreas Michailidis,KB Bhullar,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/78dc032441394331,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Felipe Colares,Luke Sanders,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3d790112d2e6d851,http://ufcstats.com/event-details/d57e6a8971b6d2bd
Kamaru Usman,Jorge Masvidal,win,Welterweight,KO/TKO Punch,2,1:02,http://ufcstats.com/fight-details/6a5eb525331fa1fc,http://ufcstats.com/event-details/27541033b97c076d
Rose Namajunas,Zhang Weili,win,Women's Strawweight,KO/TKO Kick,1,1:18,http://ufcstats.com/fight-details/6d8da45352344964,http://ufcstats.com/event-details/27541033b97c076d
Valentina Shevchenko,Jessica Andrade,win,Women's Flyweight,KO/TKO Elbows,2,3:19,http://ufcstats.com/fight-details/34d2632fd26e7078,http://ufcstats.com/event-details/27541033b97c076d
Uriah Hall,Chris Weidman,win,Middleweight,KO/TKO,1,0:17,http://ufcstats.com/fight-details/1820fed0fbcf6294,http://ufcstats.com/event-details/27541033b97c076d
Anthony Smith,Jimmy Crute,win,Light Heavyweight,KO/TKO,1,5:00,http://ufcstats.com/fight-details/00bbcd4a6d647fdf,http://ufcstats.com/event-details/27541033b97c076d
Randy Brown,Alex Oliveira,win,Welterweight,SUB Rear Naked Choke,1,2:50,http://ufcstats.com/fight-details/512af32553d9bd70,http://ufcstats.com/event-details/27541033b97c076d
Dwight Grant,Stefan Sekulic,win,Welterweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/c5dfce1eaa2dc169,http://ufcstats.com/event-details/27541033b97c076d
Brendan Allen,Karl Roberson,win,Middleweight,SUB Ankle Lock,1,4:55,http://ufcstats.com/fight-details/f5dd0a24a7dba53c,http://ufcstats.com/event-details/27541033b97c076d
Pat Sabatini,Tristan Connelly,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/6a7347d1da8a2b87,http://ufcstats.com/event-details/27541033b97c076d
Batgerel Danaa,Kevin Natividad,win,Bantamweight,KO/TKO Punch,1,0:50,http://ufcstats.com/fight-details/eb5d62bda1581c62,http://ufcstats.com/event-details/27541033b97c076d
Kazula Vargas,Rongzhu,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c3b8d8e7d256c307,http://ufcstats.com/event-details/27541033b97c076d
Jeff Molina,Aoriqileng,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/b5a8323de18f7e95,http://ufcstats.com/event-details/27541033b97c076d
Ariane Carnelossi,Liang Na,win,Women's Strawweight,KO/TKO Punches,2,1:28,http://ufcstats.com/fight-details/a3cde349c8e018fb,http://ufcstats.com/event-details/27541033b97c076d
Robert Whittaker,Kelvin Gastelum,win,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/f67aa0b16e16a9ea,http://ufcstats.com/event-details/4a35913bd9aa4161
Andrei Arlovski,Chase Sherman,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f2c82f027201ba21,http://ufcstats.com/event-details/4a35913bd9aa4161
Jacob Malkoun,Abdul Razak Alhassan,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a850ba762f3c5334,http://ufcstats.com/event-details/4a35913bd9aa4161
Tracy Cortez,Justine Kish,win,Women's Flyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/0b2c3c4306620d6d,http://ufcstats.com/event-details/4a35913bd9aa4161
Luis Pena,Alexander Munoz,win,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/a33ecd2c88154890,http://ufcstats.com/event-details/4a35913bd9aa4161
Alexandr Romanov,Juan Espino,win,Heavyweight,S-DEC,3,1:05,http://ufcstats.com/fight-details/fdfe4e7cb2d0b665,http://ufcstats.com/event-details/4a35913bd9aa4161
Jessica Penne,Loopy Godinez,win,Women's Strawweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/25d4376e00b16510,http://ufcstats.com/event-details/4a35913bd9aa4161
Gerald Meerschaert,Bartosz Fabinski,win,Middleweight,SUB Guillotine Choke,1,2:00,http://ufcstats.com/fight-details/627c0a50cff30405,http://ufcstats.com/event-details/4a35913bd9aa4161
Austin Hubbard,Dakota Bush,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8d634c9240f161dd,http://ufcstats.com/event-details/4a35913bd9aa4161
Tony Gravely,Anthony Birchak,win,Bantamweight,KO/TKO Punch,2,1:31,http://ufcstats.com/fight-details/24ff385ca78c80d3,http://ufcstats.com/event-details/4a35913bd9aa4161
Marvin Vettori,Kevin Holland,win,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/ddd63237f1b857a6,http://ufcstats.com/event-details/9114c8ded5ccd71d
Arnold Allen,Sodiq Yusuff,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/71b81d8199a0fa19,http://ufcstats.com/event-details/9114c8ded5ccd71d
Julian Marquez,Sam Alvey,win,Middleweight,SUB Rear Naked Choke,2,2:07,http://ufcstats.com/fight-details/646eeca9447c6965,http://ufcstats.com/event-details/9114c8ded5ccd71d
Mackenzie Dern,Nina Nunes,win,Women's Strawweight,SUB Armbar,1,4:48,http://ufcstats.com/fight-details/0992795fd0fa06d0,http://ufcstats.com/event-details/9114c8ded5ccd71d
Daniel Rodriguez,Mike Perry,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ac9a8b73e58f3d71,http://ufcstats.com/event-details/9114c8ded5ccd71d
Joe Solecki,Jim Miller,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e27c28928ed4390f,http://ufcstats.com/event-details/9114c8ded5ccd71d
Mateusz Gamrot,Scott Holtzman,win,Lightweight,KO/TKO Punches,2,1:22,http://ufcstats.com/fight-details/998296216e7171ed,http://ufcstats.com/event-details/9114c8ded5ccd71d
John Makdessi,Ignacio Bahamondes,win,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/7aebf01b5afc0109,http://ufcstats.com/event-details/9114c8ded5ccd71d
Jarjis Danho,Yorgan De Castro,win,Heavyweight,KO/TKO Punch,1,3:02,http://ufcstats.com/fight-details/444f0a732695dc81,http://ufcstats.com/event-details/9114c8ded5ccd71d
Jack Shore,Hunter Azure,win,Bantamweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/1fee9eca658d9808,http://ufcstats.com/event-details/9114c8ded5ccd71d
Luis Saldana,Jordan Griffin,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/93a1cd50374397c0,http://ufcstats.com/event-details/9114c8ded5ccd71d
Da Woon Jung,William Knight,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/cd5d9828b278181a,http://ufcstats.com/event-details/9114c8ded5ccd71d
Impa Kasanganay,Sasha Palatnikov,win,Welterweight,SUB Rear Naked Choke,2,0:26,http://ufcstats.com/fight-details/3209bcfaf95de90b,http://ufcstats.com/event-details/9114c8ded5ccd71d
Francis Ngannou,Stipe Miocic,win,Heavyweight,KO/TKO Punch,2,0:52,http://ufcstats.com/fight-details/b1eff235241e719b,http://ufcstats.com/event-details/6597b611f1c32555
Vicente Luque,Tyron Woodley,win,Welterweight,SUB D'Arce Choke,1,3:56,http://ufcstats.com/fight-details/39d188fa9b95d550,http://ufcstats.com/event-details/6597b611f1c32555
Sean O'Malley,Thomas Almeida,win,Bantamweight,KO/TKO Punch,3,3:52,http://ufcstats.com/fight-details/0aa335dbc4cb3473,http://ufcstats.com/event-details/6597b611f1c32555
Miranda Maverick,Gillian Robertson,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8317208cfb030ed3,http://ufcstats.com/event-details/6597b611f1c32555
Jamie Mullarkey,Khama Worthy,win,Lightweight,KO/TKO Punch,1,0:46,http://ufcstats.com/fight-details/390694c179f05c7f,http://ufcstats.com/event-details/6597b611f1c32555
Alonzo Menifield,Fabio Cherant,win,Light Heavyweight,SUB Von Flue Choke,1,1:11,http://ufcstats.com/fight-details/48292a027df02443,http://ufcstats.com/event-details/6597b611f1c32555
Abubakar Nurmagomedov,Jared Gooden,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4b3af85b0df51d09,http://ufcstats.com/event-details/6597b611f1c32555
Michal Oleksiejczuk,Modestas Bukauskas,win,Light Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/6002c24f0b7f8cc7,http://ufcstats.com/event-details/6597b611f1c32555
Omar Morales,Shane Young,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2220b73ece1730c3,http://ufcstats.com/event-details/6597b611f1c32555
Marc-Andre Barriault,Abu Azaitar,win,Middleweight,KO/TKO Punches,3,4:56,http://ufcstats.com/fight-details/41622791b276ad9e,http://ufcstats.com/event-details/6597b611f1c32555
Derek Brunson,Kevin Holland,win,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/2efbcd870f1f7bc7,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Max Griffin,Song Kenan,win,Welterweight,KO/TKO Punch,1,2:20,http://ufcstats.com/fight-details/edac9fd482177a64,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Montserrat Conejo Ruiz,Cheyanne Vlismas,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/dd7f3f91ea6067d4,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Adrian Yanez,Gustavo Lopez,win,Bantamweight,KO/TKO Punch,3,0:27,http://ufcstats.com/fight-details/afc86d1076c4c3a9,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Tai Tuivasa,Harry Hunsucker,win,Heavyweight,KO/TKO Punches,1,0:49,http://ufcstats.com/fight-details/9e45cc594a5a2506,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Macy Chiasson,Marion Reneau,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/dcfbbebc0aee6ded,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Grant Dawson,Leonardo Santos,win,Lightweight,KO/TKO Punches,3,4:59,http://ufcstats.com/fight-details/a043e279434d5c8c,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Trevin Giles,Roman Dolidze,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/68cf99b6551dc3b3,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Montel Jackson,Jesse Strader,win,Bantamweight,KO/TKO Punch,1,1:58,http://ufcstats.com/fight-details/b8a0047c927faa75,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Bruno Silva,JP Buys,win,Flyweight,KO/TKO Punch,2,2:56,http://ufcstats.com/fight-details/55bf7f19a132e0fc,http://ufcstats.com/event-details/c36e1f4fa755ffb4
Leon Edwards,Belal Muhammad,"nc


nc",Welterweight,CNC,2,0:18,http://ufcstats.com/fight-details/2c13b938e0f8190b,http://ufcstats.com/event-details/8c90c1563972e44d
Ryan Spann,Misha Cirkunov,win,Light Heavyweight,KO/TKO Punches,1,1:11,http://ufcstats.com/fight-details/4944437e73071671,http://ufcstats.com/event-details/8c90c1563972e44d
Dan Ige,Gavin Tucker,win,Featherweight,KO/TKO Punch,1,0:22,http://ufcstats.com/fight-details/d15a87087b6f1452,http://ufcstats.com/event-details/8c90c1563972e44d
Davey Grant,Jonathan Martinez,win,Bantamweight,KO/TKO Punch,2,3:03,http://ufcstats.com/fight-details/70aa6b8f863e6861,http://ufcstats.com/event-details/8c90c1563972e44d
Matheus Nicolau,Manel Kape,win,Flyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/01f262b68a6a2223,http://ufcstats.com/event-details/8c90c1563972e44d
Eryk Anders,Darren Stewart,"nc


nc",Middleweight,CNC,1,4:37,http://ufcstats.com/fight-details/dc48627a5f2daba9,http://ufcstats.com/event-details/8c90c1563972e44d
Angela Hill,Ashley Yoder,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/18c67631b76c18e5,http://ufcstats.com/event-details/8c90c1563972e44d
Charles Jourdain,Marcelo Rojo,win,Featherweight,KO/TKO Punch,3,4:31,http://ufcstats.com/fight-details/bb7ce8a6ba7f7cc5,http://ufcstats.com/event-details/8c90c1563972e44d
Rani Yahya,Ray Rodriguez,win,Bantamweight,SUB Arm Triangle,2,3:09,http://ufcstats.com/fight-details/03bdbf2d18f3025d,http://ufcstats.com/event-details/8c90c1563972e44d
Nasrat Haqparast,Rafa Garcia,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a6828a6dfb21d33c,http://ufcstats.com/event-details/8c90c1563972e44d
JJ Aldrich,Cortney Casey,win,Women's Flyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/e8adfbbe0053c321,http://ufcstats.com/event-details/8c90c1563972e44d
Jinh Yu Frey,Gloria de Paula,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8a7b0cd5ad9ca4fe,http://ufcstats.com/event-details/8c90c1563972e44d
Matthew Semelsberger,Jason Witt,win,Welterweight,KO/TKO Punch,1,0:16,http://ufcstats.com/fight-details/d0ebb0551377a1c1,http://ufcstats.com/event-details/8c90c1563972e44d
Jan Blachowicz,Israel Adesanya,win,Light Heavyweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/7de9867b7cc2b1b1,http://ufcstats.com/event-details/6e2b1d631832921d
Amanda Nunes,Megan Anderson,win,Women's Featherweight,SUB Triangle Armbar,1,2:03,http://ufcstats.com/fight-details/fd92fe0c494d0959,http://ufcstats.com/event-details/6e2b1d631832921d
Aljamain Sterling,Petr Yan,win,Bantamweight,DQ,4,4:29,http://ufcstats.com/fight-details/15c9cb5f9320c555,http://ufcstats.com/event-details/6e2b1d631832921d
Islam Makhachev,Drew Dober,win,Lightweight,SUB Arm Triangle,3,1:37,http://ufcstats.com/fight-details/c06d7bb29bc24d00,http://ufcstats.com/event-details/6e2b1d631832921d
Aleksandar Rakic,Thiago Santos,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/04a788abbbd1f256,http://ufcstats.com/event-details/6e2b1d631832921d
Dominick Cruz,Casey Kenney,win,Bantamweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/f4363f1317b47213,http://ufcstats.com/event-details/6e2b1d631832921d
Kyler Phillips,Song Yadong,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5980ab31e4718a83,http://ufcstats.com/event-details/6e2b1d631832921d
Askar Askarov,Joseph Benavidez,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ae5d14a9fc1ad19c,http://ufcstats.com/event-details/6e2b1d631832921d
Kai Kara-France,Rogerio Bontorin,win,Flyweight,KO/TKO Punch,1,4:55,http://ufcstats.com/fight-details/873306ad79b62f5e,http://ufcstats.com/event-details/6e2b1d631832921d
Tim Elliott,Jordan Espinosa,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2704d31de2c2f43b,http://ufcstats.com/event-details/6e2b1d631832921d
Kennedy Nzechukwu,Carlos Ulberg,win,Light Heavyweight,KO/TKO Punch,2,3:19,http://ufcstats.com/fight-details/d170f6580e1c244f,http://ufcstats.com/event-details/6e2b1d631832921d
Sean Brady,Jake Matthews,win,Welterweight,SUB Arm Triangle,3,3:28,http://ufcstats.com/fight-details/7ad09f889d2cdb6f,http://ufcstats.com/event-details/6e2b1d631832921d
Amanda Lemos,Livinha Souza,win,Women's Strawweight,KO/TKO Punch,1,3:39,http://ufcstats.com/fight-details/50ef636148fa6fac,http://ufcstats.com/event-details/6e2b1d631832921d
Uros Medic,Aalon Cruz,win,Lightweight,KO/TKO Punches,1,1:40,http://ufcstats.com/fight-details/e2abba69c3371618,http://ufcstats.com/event-details/6e2b1d631832921d
Trevin Jones,Mario Bautista,win,Bantamweight,KO/TKO Punch,2,0:47,http://ufcstats.com/fight-details/c096342c57a6f2c4,http://ufcstats.com/event-details/6e2b1d631832921d
Ciryl Gane,Jairzinho Rozenstruik,win,Heavyweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/4a704dae3091adaf,http://ufcstats.com/event-details/81b57acd6975ac06
Magomed Ankalaev,Nikita Krylov,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3a4e2dffcdd1c838,http://ufcstats.com/event-details/81b57acd6975ac06
Montana De La Rosa,Mayra Bueno Silva,"draw


draw",Women's Flyweight,M-DEC,3,5:00,http://ufcstats.com/fight-details/f3ad8ad8d242678e,http://ufcstats.com/event-details/81b57acd6975ac06
Pedro Munhoz,Jimmie Rivera,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c2ee423d1f0b4f6f,http://ufcstats.com/event-details/81b57acd6975ac06
Alex Caceres,Kevin Croom,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/6a0341234ecc4e87,http://ufcstats.com/event-details/81b57acd6975ac06
Thiago Moises,Alexander Hernandez,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3eac2d47ac252f4b,http://ufcstats.com/event-details/81b57acd6975ac06
Alexis Davis,Sabina Mazo,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a7315147a7022a93,http://ufcstats.com/event-details/81b57acd6975ac06
Ronnie Lawrence,Vince Cachero,win,Bantamweight,KO/TKO Punches,3,2:38,http://ufcstats.com/fight-details/11a83369d49ad138,http://ufcstats.com/event-details/81b57acd6975ac06
